epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
79,4180.91,0.32109,0.42714,0.21825,0.11206,0.01361,3.64792,0.99517,0.99942,0.995,0.89515,0.99517,0.99942,0.995,0.90542,0.57047,0.45081,0.16938,0.17077,0.02513,0,0.00022078,0.00022078,0.00022078
80,4237.99,0.33782,0.44466,0.20051,0.11345,0.0142,3.64466,0.99517,0.99975,0.995,0.8828,0.99517,0.99975,0.995,0.90309,0.60652,0.45484,0.23077,0.17739,0.02664,0,0.00021079,0.00021079,0.00021079
81,4309.8,0.29349,0.411,0.2124,0.10801,0.01216,3.64324,0.99973,0.99515,0.995,0.89491,0.99973,0.99515,0.995,0.90695,0.55874,0.4509,0.19168,0.16321,0.02436,0,0.0002008,0.0002008,0.0002008
82,4380.25,0.29518,0.43442,0.21154,0.10545,0.01242,3.62463,1,0.99973,0.995,0.88433,1,0.99973,0.995,0.90263,0.60889,0.45119,0.21642,0.17844,0.02681,0,0.00019081,0.00019081,0.00019081
83,4445.15,0.29592,0.40356,0.20392,0.10333,0.0122,3.52753,1,0.99964,0.995,0.8898,1,0.99964,0.995,0.90836,0.59732,0.45749,0.21197,0.18017,0.02643,0,0.00018082,0.00018082,0.00018082
84,4507.45,0.29396,0.43972,0.20966,0.10035,0.01232,3.57094,0.99514,0.99486,0.995,0.90235,0.99514,0.99486,0.995,0.90643,0.53958,0.45115,0.19244,0.17429,0.02352,0,0.00017083,0.00017083,0.00017083
85,4573.42,0.29077,0.42372,0.21722,0.1043,0.01206,3.50558,0.99973,0.99515,0.995,0.87791,0.99973,0.99515,0.995,0.90992,0.61758,0.44617,0.1881,0.18475,0.02738,0,0.00016084,0.00016084,0.00016084
86,4648.2,0.29048,0.41811,0.21009,0.10436,0.01194,3.47031,0.99448,0.99029,0.99495,0.89117,0.99448,0.99029,0.99495,0.91211,0.58501,0.45129,0.18458,0.18271,0.02584,0,0.00015085,0.00015085,0.00015085
87,4707.4,0.27887,0.42091,0.21952,0.10484,0.01166,3.55806,0.99938,0.99515,0.995,0.88491,0.99938,0.99515,0.995,0.90867,0.61352,0.44728,0.18996,0.19022,0.02702,0,0.00014086,0.00014086,0.00014086
88,4775.32,0.28533,0.38613,0.20276,0.10278,0.01184,3.3846,0.99991,0.99029,0.995,0.89622,0.99991,0.99029,0.995,0.90723,0.56827,0.45101,0.2005,0.18366,0.02508,0,0.00013087,0.00013087,0.00013087
89,4839.44,0.26462,0.41615,0.21877,0.0966,0.01107,3.49087,0.99944,0.99515,0.995,0.88927,0.99944,0.99515,0.995,0.90619,0.58566,0.4514,0.20328,0.18598,0.02576,0,0.00012088,0.00012088,0.00012088
90,4904.09,0.27758,0.41527,0.20599,0.09889,0.01139,3.4012,0.99965,0.99515,0.995,0.89801,0.99965,0.99515,0.995,0.90851,0.55156,0.44882,0.19089,0.17105,0.02421,0,0.00011089,0.00011089,0.00011089
91,4972.29,0.26369,0.40708,0.20829,0.08888,0.01061,3.37989,1,0.99499,0.995,0.89053,1,0.99499,0.995,0.90973,0.58272,0.45972,0.21909,0.17805,0.0257,0,0.0001009,0.0001009,0.0001009
92,5043.84,0.26872,0.39929,0.2216,0.09197,0.01099,3.35813,1,0.99483,0.995,0.89168,1,0.99483,0.995,0.90978,0.57857,0.45355,0.21547,0.17691,0.02549,0,9.091e-05,9.091e-05,9.091e-05
93,5112.85,0.26562,0.414,0.20538,0.09718,0.01085,3.39668,1,0.9949,0.995,0.89647,1,0.9949,0.995,0.91142,0.56393,0.4532,0.21774,0.17066,0.0248,0,8.092e-05,8.092e-05,8.092e-05
94,5175.02,0.27234,0.39982,0.21368,0.09536,0.01115,3.33879,0.99925,0.99515,0.995,0.8966,0.99925,0.99515,0.995,0.90504,0.56842,0.45549,0.2147,0.17217,0.02505,0,7.093e-05,7.093e-05,7.093e-05
95,5246.74,0.26274,0.40195,0.2139,0.09845,0.01083,3.37103,0.99964,0.99515,0.995,0.89249,0.99964,0.99515,0.995,0.91025,0.5786,0.45458,0.20235,0.17738,0.0255,0,6.094e-05,6.094e-05,6.094e-05
96,5310.29,0.26098,0.39632,0.21045,0.0972,0.01073,3.35191,0.9997,0.99515,0.995,0.89437,0.9997,0.99515,0.995,0.90971,0.57125,0.45146,0.19725,0.17539,0.02514,0,5.095e-05,5.095e-05,5.095e-05
97,5371.94,0.25319,0.40591,0.22102,0.08827,0.01052,3.39685,1,0.99971,0.995,0.88901,1,0.99971,0.995,0.9101,0.58255,0.45168,0.20768,0.17657,0.02561,0,4.096e-05,4.096e-05,4.096e-05
98,5431.79,0.26521,0.37645,0.2229,0.0967,0.011,3.26406,0.99517,0.9994,0.995,0.88916,0.99517,0.9994,0.995,0.91062,0.58155,0.4521,0.20423,0.17902,0.02559,0,3.097e-05,3.097e-05,3.097e-05
99,5498.63,0.25966,0.41471,0.20666,0.0931,0.01074,3.42375,1,0.99469,0.995,0.88737,1,0.99469,0.995,0.91148,0.58355,0.45253,0.20386,0.18031,0.02569,0,2.098e-05,2.098e-05,2.098e-05
100,5562.72,0.25853,0.40411,0.21256,0.09201,0.01077,3.37193,0.9995,0.99515,0.995,0.89018,0.9995,0.99515,0.995,0.91081,0.58388,0.45232,0.20511,0.1766,0.02569,0,1.099e-05,1.099e-05,1.099e-05
